Index,Name,Use,Name_English,Province,Province_English,Region_ID,Area,fetch,depth_w,depth_bs,T_bs,h_u,h_tq,depth_w_calibrated,Hylak_id,Lat
L1,艾比湖,0,Lake Aibi,新疆维吾尔自治区,Xinjiang,3,650,7193.85796,1.4,10,273.15,10,2,1.30210528,1290,44.87472022
L2,白龟山水库,1,Reservoir Baiguishan,河南省,Henan,0,70,2360.772841,21.7,10,273.15,10,2,5.587727215,15022,33.73476118
L3,白莲河水库,1,Reservoir Bailianhe,湖北省,Hubei,0,32.68,1613.043964,38.2,10,273.15,10,2,9.87524244,15286,30.63015055
L4,白马湖,1,Lake Baima,江苏省,Jiangsu,0,108,2932.358456,1,10,273.15,10,2,1.9082042,15045,33.23979794
L5,白盆珠水库,0,Reservoir Baipenzhu,广东省,Guangdong,0,41.635,1820.683535,41.6,10,273.15,10,2,11.36218304,15550,23.10831558
L6,白洋淀,1,Lake Baiyang,河北省,Hebei,0,366,5398.15963,1,10,273.15,10,2,1.9810842,173290,38.82888651
L7,百花湖,1,Lake Baihua,贵州省,Guizhou,1,10.96,934.1367485,18.7,10,273.15,10,2,8.37255287,15449,26.65769202
L8,班公错,0,Lake Bangong,西藏自治区,Xizang,4,400,5643.32648,50,10,273.15,10,2,13.7524875,1400,33.68863416
L9,贝尔湖,0,Lake Buir,内蒙古自治区,Inner Mongolia,3,608.78,6962.021635,5,10,273.15,10,2,3.675704,1349067,47.8115896
L10,碧流河水库,1,Reservoir Biliuhe,辽宁省,Liaoning,2,1785,11921.31849,28.9,10,273.15,10,2,8.109983603,14573,39.86056941
L11,博斯腾湖,1,Lake Bosten,新疆维吾尔自治区,Xinjiang,3,980,8833.20314,9.1,10,273.15,10,2,4.76322938,1304,41.97221556
L12,菜子湖,1,Lake Caizi,安徽省,Anhui,0,172.1,3701.652239,2.8,10,273.15,10,2,1.48412628,175805,30.83463326
L13,查干湖,0,Lake Chagan,吉林省,Jilin,2,420,5782.68886,2.7,10,273.15,10,2,1.5656625,14216,45.26509285
L14,察尔森水库,1,Reservoir Chaersen,内蒙古自治区,Inner Mongolia,3,80,2523.772326,20.7,10,273.15,10,2,8.37622188,14092,46.34813947
L15,巢湖,1,Lake Chaohu,安徽省,Anhui,0,769.32,7826.339655,2.6,10,273.15,10,2,4.24909732,1430,31.57199893
L16,程海,1,Lake Chenghai,云南省,Yunnan,1,77.2,2479.212943,41.7,10,273.15,10,2,15.37984154,15455,26.55046228
L17,达赉湖,1,Lake Dalai,内蒙古自治区,Inner Mongolia,3,2315,13576.27661,6.2,10,273.15,10,2,3.753394068,123,48.95554826
L18,大广坝水库,1,Reservoir Daguangba,海南省,Hainan,0,100,2821.66324,48.6,10,273.15,10,2,13.27408884,15655,18.92282366
L19,大伙房水库,1,Reservoir Dahuofang,辽宁省,Liaoning,2,110,2959.385373,42.8,10,273.15,10,2,12.01063316,14440,41.88274249
L20,大隆水库,1,Reservoir Dalong,海南省,Hainan,0,749,7722.289685,5,10,273.15,10,2,7.4706145,-999,18.48031892
L21,大明湖,0,Lake Daming,山东省,Shandong,0,0.46,191.374512,2.2,10,273.15,10,2,4.13118618,1370299,36.67491484
L22,大通湖,1,Lake Datong,湖南省,Hunan,0,83,2570.657553,2.3,10,273.15,10,2,2.26050785,15381,29.20706252
L23,丹江口水库,1,Reservoir Danjiangkou,河南省,Henan,0,1022.75,9023.809625,72.9,10,273.15,10,2,20.12981868,1374142,32.6893531
L24,党河水库,0,Reservoir Danghe,甘肃省,Gansu,3,4.5,598.5651635,4.2,10,273.15,10,2,2.81977836,172868,39.93946036
L25,滇池,1,Lake Dianchi,云南省,Yunnan,1,309,4960.031334,19.7,10,273.15,10,2,6.926235729,1483,24.8237319
L26,淀山湖,0,Lake Dianshan,上海市,Shanghai,0,58.59,2159.816871,1.8,10,273.15,10,2,3.30783804,15239,31.12028395
